,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
Dodatak ALEVA za špagete Milaneze 50g,"79,99",-,"95,99","87,99","89,99","79,99",-
Dodatak C Gulaš 50g,-,"99,99",-,"101,99",-,"102,99",-
Dodatak C Pene Arabiata 34g,"109,99","99,99",-,"96,99","99,99","104,99",-
Dodatak C piletina sa 4 sira 32g,"109,99","89,99","79,99","86,99","99,99","107,99","89,99"
Dodatak C piletina sa šampinjonima 48g,"107,99","89,99","79,99","86,99","99,99",-,-
Dodatak C rižoto sa piletinom i pečurkama 40g,"109,99","89,99","79,99","104,99",-,"104,99",-
Dodatak C špageti bolonjeze 55g,"79,99","101,99","99,99","96,99","79,99","79,99","89,99"
Dodatak C špageti Carbonara 37g,"79,99","101,99","113,99","96,99","79,99","79,99","89,99"
Dodatak C špageti milanese 50g,"119,99","89,99","97,99","86,99","99,99","104,99",-
Dodatak C taljatele sa pečurkama 40g,"109,99","101,99","97,99","96,99","99,99","104,99",-
Dodatak C za krompir 20g,"62,99",-,"66,99","74,99",-,"62,99",-
Dodatak C za mleveno meso 20g,"62,99",-,"68,99",-,-,"62,99",-
Dodatak C za piletinu 20g,"62,99",-,"68,99","72,99",-,"62,99",-
Dodatak C za roštilj 20g,"62,99",-,"68,99","74,99",-,"62,99",-
Dodatak C za salatu 20g,"62,99",-,"66,99",-,-,"62,99",-
Dodatak C za svinjetinu 20g,"62,99",-,"68,99","69,99",-,"62,99",-
Dodatak C zapečena testenina šunka sir 39g,"82,99","104,99","113,99","101,99","89,99","82,99",-
Dodatak KOTANYI Pečenje na žaru 40g,-,"104,99","94,99","94,99",-,-,-
Dodatak KOTANYI za piletinu 40g,"112,99","112,99","94,99","98,99",-,-,-
Dodatak KOTANYI za ribu 26g,-,"112,99","94,99","96,99",-,-,-
Dodatak KOTANYI za svinjsko pečenje 30g,-,"104,99","82,99","96,99",-,-,-
Dodatak KANIA Bolognese 40g,-,-,-,-,-,-,"39,99"
Dodatak KANIA Goulash 50g,-,-,-,-,-,-,"39,99"
NEOPLANTA Prego ćufte u paradajz sosu 400g,"364,99","339,99","330,99","334,99","249,99","334,99",-
NEOPLANTA Prego đuveč posni 400g,"262,99",-,"236,99","239,99","199,99","239,99",-
NEOPLANTA Prego grašak sa faširanom šniclom 400g,"302,99",-,"278,99",-,"229,99","282,99",-
NEOPLANTA Prego pasulj sa dimljenom slaninom 400g,"304,99","304,99","268,99","294,99",-,"294,99",-
NEOPLANTA Prego pasulj sa faširanom šniclom 400g,"294,99",-,"267,99",-,"199,99","274,99",-
NEOPLANTA Prego pasulj sa kobasicom 400g,"274,99","262,99","245,99","252,99","219,99","252,99",-
NEOPLANTA Prego posni pasulj 400g,"224,99","219,99","179,99","214,99","149,99","214,99",-
NEOPLANTA Prego svinjski paprikaš 400g,"379,99",-,"346,99","359,99",-,"359,99",-
CARNEX Boranija sa svinjskim mesom 400g,"284,99","339,99","307,99","294,99",-,"284,99",-
CARNEX Ćufte u paradajz sosu 400g,"324,99","372,99",-,"329,99","349,99","324,99",-
CARNEX Domaća sarma 400g,"344,99","409,99","370,99","384,99","387,99","344,99",-
CARNEX Faširana šnicla sa boranijom 400g,"244,99","299,99",-,"259,99",-,"244,99",-
CARNEX Goveđi gulaš 400g,"449,99","519,99",-,"499,99","508,99","449,99",-
CARNEX Grašak sa svinjskim mesom 400g,"264,99","314,99","234,99","284,99",-,"264,99",-
CARNEX Indijsko jelo 350g,"369,99","449,99",-,"409,99",-,"369,99",-
CARNEX Meksičko jelo sa piletinom 350g,"374,99","409,99",-,"389,99",-,"374,99",-
CARNEX Mesni preliv za špagete 400g,"329,99","394,99",-,"354,99",-,"329,99",-
CARNEX Pasulj sa faširanom šniclom 400g,"229,99","274,99","249,99","249,99","271,99","229,99",-
CARNEX Pasulj sa kobasicom 400g,"244,99","279,99","285,99","249,99","269,99","244,99",-
CARNEX Pasulj sa slaninom 400g,"254,99","291,99","292,99","269,99","283,99","254,99",-
CARNEX Posna sarma 400g,"209,99","229,99","220,99","214,99","226,99","209,99",-
CARNEX Posni pasulj 400g,"189,99","209,99","200,99","201,99","218,99","189,99",-
CARNEX Punjena paprika 400g,"329,99","407,99","355,99","364,99",-,"329,99",-
CARNEX Riblji paprikaš 400g,"329,99","404,99","355,99","359,99","358,99","329,99",-
CARNEX Smazalice pužići bolonjeze 400g,"294,99","374,99","317,99","329,99","320,99","294,99",-
CARNEX Špageti na bolonjski način 400g,"269,99","314,99","289,99","284,99",-,"269,99",-
CARNEX Vegitarijansko jelo 350g,"289,99",-,-,-,-,"289,99",-
Krompir pire ABC 120g,"90,99","104,99",-,"97,99",-,"90,99",-
Krompir pire ABC 3x120g,"207,99","281,99",-,"229,99",-,"207,99",-
Krompir pire YUMIS 120g,"87,99",-,"91,99",-,-,"87,99",-
Minut krompir pire MARBO 120g,-,"94,99","121,99","94,99","109,99","119,99",-
Minut krompir pire MARBO 3x120g,-,"284,99","289,99","271,99","269,99","279,99",-
Krompir pire HARVEST BASKET 3x110g,-,-,-,-,-,-,"132,99"
Kečap BONITO blagi 100g,-,-,"24,99",-,-,"24,99",-
Kečap BONITO blagi 1kg,"269,99",-,"213,99",-,-,"254,99",-
Kečap BONITO blagi 460g,"112,99",-,"115,99",-,-,"112,99",-
Kečap BONITO ljuti 100g,"24,99",-,"24,99",-,-,"24,99",-
Kečap BONITO ljuti 1kg,-,-,"203,99",-,-,-,-
Kečap BONITO ljuti 460g,"108,99",-,"124,99",-,-,"108,99",-
Kečap BONITO pizza 100g,-,-,-,-,-,"108,99",-
Kečap BONITO pizza 460g,"108,99",-,-,-,-,"108,99",-
Kečap DIJAMANT blagi pvc 1kg,"229,99",-,"218,99","229,99","219,99","219,99",-
Kečap DIJAMANT blagi pvc 500g,"119,99","125,99","89,99","92,99","119,99","109,99","107,99"
Kečap DIJAMANT ljuti pvc 500g,"126,99",-,"109,99","99,99","129,99","119,99",-
Kečap DIJAMANT pizza 1kg,"229,99",-,"218,99","219,99",-,"219,99",-
Kečap DIJAMANT pizza 500g,"126,99",-,"109,99","102,99","129,99","119,99",-
"Kečap GURMAN plus blagi 1,02kg","249,99",-,"228,99","197,99","241,99","239,99",-
"Kečap GURMAN plus blagi 1,5kg","329,99",-,"311,99","254,99",-,"304,99",-
Kečap GURMAN plus blagi 450g,"117,99","124,99","103,99","119,99","99,99","114,99",-
"Kečap GURMAN plus ljuti 1,02kg","249,99",-,"230,99",-,-,-,-
"Kečap GURMAN plus ljuti 1,5kg",-,-,-,"254,99","307,99",-,-
Kečap GURMAN plus ljuti 450g,"122,99",-,"104,99","122,99","99,99","114,99",-
"Kečap GURMAN plus pizza 1,02kg","249,99",-,"230,99","232,99","219,99","239,99",-
"Kečap GURMAN plus pizza 1,5kg","352,99",-,"317,99","254,99","329,99",-,-
Kečap GURMAN plus pizza 450g,"122,99","123,99","103,99","122,99","99,99","114,99",-
Kečap HEINZ 1kg,"539,99","329,99","457,99","328,99",-,"519,99",-
Kečap HEINZ 342g,"244,99","198,99","207,99","187,99","219,99","219,99",-
Kečap HEINZ 450g,"289,99",-,"245,99",-,-,"277,99",-
Kečap HEINZ 570g,"267,99","334,99","302,99","294,99",-,"267,99",-
Kečap HEINZ hot 570g,"267,99","339,99","302,99","289,99",-,"267,99",-
Kečap POLIMARK blagi boca 1kg,"199,99","249,99","254,99","229,99","252,99","199,99",-
Kečap POLIMARK blagi dojpak 280g,"75,99","89,99","88,99","84,99","79,99","75,99",-
Kečap POLIMARK blagi kesica 180g,"62,99",-,"53,99","55,99","58,99",-,-
Kečap POLIMARK blagi kesica 90g,"33,99",-,"28,99","28,99","31,99","29,99",-
Kečap POLIMARK blagi pvc 500g,"124,99","106,99","124,99","104,99","126,99","106,99",-
Kečap POLIMARK blagi tuba 190g,"106,99",-,"86,99","87,99",-,"96,99",-
Kečap POLIMARK ljuti boca 1kg,"259,99","249,99","236,99","232,99","252,99","219,99",-
Kečap POLIMARK ljuti kesica 90g,"32,99",-,"27,99","28,99","30,99",-,-
Kečap POLIMARK ljuti pvc 500g,"109,99","124,00","109,99","118,00","119,99","109,99",-
Kečap POLIMARK ljuti tuba 190g,"97,99",-,"86,99","87,99",-,"89,99",-
Kečap POLIMARK pizza boca 1kg,"259,99","249,99","254,99","232,99","249,99","247,99",-
Kečap POLIMARK pizza kesica 90g,"33,99",-,"27,99","28,99","30,99","21,99",-
Kečap POLIMARK pizza pvc 500g,"109,99","124,00","109,99","118,00","119,99","109,99",-
Kečap POLIMARK pizza tuba 190g,"104,99",-,"86,99","87,99",-,"96,99",-
Kečap VITAL blagi 450g,-,-,"117,99",-,"119,99",-,-
Kečap VITAL blagi 950g,-,-,-,"169,99",-,-,-
Kečap VITAL ljuti 450g,-,-,-,"128,99",-,-,-
Kečap VITAL ljuti 950g,-,-,-,"169,99","217,99",-,-
Kečap VITAL pizza 450g,-,-,-,"128,99","122,99",-,-
Kečap VITAL pizza 950g,-,-,-,"169,99",-,-,-
Paradajz seckani HEINZ 400g,"208,99","272,99","208,99","237,99",-,"208,99",-
Paradajz sok CIRIO pasirani 500g,"219,99","209,99","179,99","201,99",-,"202,99",-
Paradajz sok GURMAN blagi 500g,"79,99",-,"62,99",-,"75,99","72,99",-
Paradajz sok GURMAN bosiljak i origano 500g,"82,99",-,-,-,"73,99","77,99",-
Paradajz sok GURMAN pasirani 500g,"84,99","64,99","84,99","72,99","72,99","79,99",-
Paradajz sok POLIMARK Classic 300g,"73,99","99,99","67,99","87,99","90,99","73,99",-
Paradajz sok POLIMARK Mediteraneo 300g,"73,99","99,99","67,99","94,99","90,99","73,99",-
"Paradajz sok TOMATELLO 0,5l","92,99","74,99","64,99","69,99","69,99","56,99",-
Paradajz sok TOMATELLO 1l,"162,99","149,99","151,99","141,99","144,99","144,99",-
Paradajz sok TOMATELLO origano & bosiljak 0.5l,"96,99","96,99","77,99","78,99","79,99","87,99",-
Paradajz sok TOMATELLO za gulaš i paprikaš 0.5l,"94,99",-,"77,99",-,"79,99","82,99",-
"Paradajz sok TOMATINO 1,03kg","157,99","149,99","109,99","139,99","147,99","147,99",-
Paradajz sok TOMATINO 500ml,"64,99","83,99","86,99","73,99","59,99","64,99",-
Cubetti POLIMARK 400g,"170,99","167,99","122,99","169,99",-,"170,99",-
DIVELLA Pelati 400g,"119,99",-,"114,99",-,-,-,-
DIVELLA Pelati 800g,"179,99",-,-,-,-,-,-
Pelati CIRIO 400g,"149,99","219,99","211,99","199,99",-,"149,99",-
Pelati POLIMARK 400g,"170,99","193,99","122,99","169,99",-,"170,99",-
Majonez DIJAMANT classic 1kg,"524,99","524,99","519,99","467,99","399,99","489,99",-
Majonez DIJAMANT classic 40ml,"38,99",-,"32,99","34,99",-,"34,99",-
Majonez DIJAMANT classic 470ml,"289,99",-,"256,99",-,"266,99","249,99",-
Majonez DIJAMANT classic 540ml,"284,99","289,99","284,99","264,99","288,99","274,99",-
Majonez DIJAMANT classic tegla 630g,"372,99",-,"325,99","352,99",-,"352,99",-
Majonez DIJAMANT delikates dojpak 285ml,"119,99","154,99","124,99","139,99","129,99","119,99","139,99"
Majonez DIJAMANT delikates kesica 95ml,"64,99",-,"66,99","54,99","46,99","59,99",-
Majonez DIJAMANT kantica 3l,-,-,-,"1.294,00",-,"1.294,99",-
Majonez DIJAMANT kesa delikates 190ml,"89,99","89,99","96,99","97,99",-,"89,99","93,99"
Majonez DIJAMANT light 1l,"339,99",-,"306,99","287,99","306,99",-,-
Majonez DIJAMANT light 285ml,"69,99","125,99","124,99","109,99","116,99","69,99",-
Majonez DIJAMANT light 95ml,"52,99",-,"37,99","40,99","36,99","47,99",-
Majonez DIJAMANT mladi luk 95ml,"77,99",-,"61,99","64,99","67,99","69,99",-
Majonez DIJAMANT Slaninica 100ml,"77,99",-,"61,99","64,99","49,99","69,99",-
Majonez DIJAMANT Slaninica 300ml,"202,99",-,"177,99","179,99","149,99","184,99",-
Majonez HEINZ 395g,"419,99","404,99","294,99","303,99",-,-,-
Majonez POLIMARK delikates 1l,"441,99","514,99","469,99","459,99","493,99","441,99",-
Majonez POLIMARK delikates 280ml,"172,99","172,99","124,99","149,99","159,99","157,99",-
Majonez POLIMARK delikates boca 500ml,"223,99","254,99","248,99","241,99","259,99","223,99",-
Majonez POLIMARK delikates kesa 180ml,"79,99","101,99","93,99","89,99","79,99","79,99",-
Majonez POLIMARK delikates kesa 45ml,"24,99",-,"27,99","31,99","32,99","24,99",-
Majonez POLIMARK delikates kesa 90ml,"42,99",-,"50,99","54,99","48,99","42,99",-
Majonez POLIMARK junior mayo 310ml,-,-,"152,99","149,99",-,-,-
Majonez POLIMARK laki dojpak 280ml,-,"110,99","109,99","110,99","119,99","122,99",-
Majonez POLIMARK light 180ml,"84,99","66,99","67,99","61,99","84,99","77,99",-
Majonez POLIMARK tuba 165ml,"139,99",-,"119,99","131,99",-,"134,99",-
Majonez POLIMARK ukus krastavca 100ml,-,-,"51,99","50,99",-,-,-
Majonez THOMY Delight 220g,"124,99","139,99","129,99","129,99","119,99","169,99",-
Majonez THOMY Delight 80g,"44,99",-,"61,99","54,99",-,"44,99",-
Majonez THOMY doypack 380g,"332,99","259,99","257,99","249,99","209,99","319,99",-
Majonez THOMY kesica 160g,"102,99","139,99","121,99","134,99","136,99","102,99",-
Majonez THOMY kesica 20g,"29,99",-,"22,99",-,-,"29,99",-
Majonez THOMY kesica 280g,"149,99","215,99","149,99","190,99","149,99","209,99",-
Majonez THOMY kesica 85g,"59,99","84,99","70,99","77,99",-,"59,99",-
Majonez THOMY tegla 650ml,-,"624,99","477,99","584,99","577,99","584,99",-
Majonez THOMY tuba 165g,"209,99","209,99","197,99","199,99",-,-,-
Majonez THOMY tuba 85g,"149,99","149,99","137,99","139,99",-,-,-
Majonez THOMY XXL doypack 730g,"559,99","519,99","477,99","509,99","503,99","522,99",-
Majonez VITAL Mayovita delikates 270g,"239,99","239,99","187,99","219,99","209,99","219,99",-
Majonez VITAL Mayovita delikates 900g,"689,99","637,99","560,99","659,99","649,99","659,99",-
Majonez VITAL Mayovita delikates kesa 180g,"147,99","146,99","126,99","130,99","124,99","142,99",-
Majonez VITAL Mayovita delikates kesa 90g,"61,99",-,"74,99","67,99","59,99","61,99",-
Majonez VITAL Mayovita light kantica 900g,"499,99",-,"400,99","479,99","429,99","479,99",-
Majonez VITAL Mayovita light kesa 180g,"97,99",-,"80,99","89,99","79,99",-,-
Majonez VITAL Mayovita light kesa 90g,"67,99",-,"40,99","56,99","29,99","56,99",-
Majonez KANIA lagani 300g,-,-,-,-,-,-,"89,99"
Senf ALEVA delikates 100g,-,-,"72,99",-,-,"42,99",-
Senf C delikates 1kg,"449,99","379,99","345,99","396,99","389,99",-,-
Senf C delikates 50g,-,"39,99","39,99","36,99",-,-,-
Senf C delikates čaša 100g,"84,99","72,99","52,99","59,99","49,99","74,99","45,99"
Senf C doypack 280g,"119,99","96,99","113,99","93,99","109,99","119,99","114,99"
Senf C pikant čaša 100g,"84,99","58,99","52,99","51,99",-,-,-
Senf C XL 380g,"217,99","197,99","174,99","146,99","189,99","202,99",-
Senf HEINZ mild 220ml,"314,99","314,99","247,99","283,99",-,"289,99",-
Senf POLIMARK fini časa 100g,"44,99","73,99","53,99","49,99","60,99","44,99",-
Senf POLIMARK fini dojpak 300g,"152,99","103,99","119,99","103,99","134,99",-,-
Senf POLIMARK kesica 45g,"36,99",-,"27,99","30,99",-,-,-
Senf POLIMARK ljuti časa 100g,"44,99",-,"53,99","37,99","59,99","44,99",-
Senf THOMY dojpak 280g,"186,99","196,99","153,99","159,99","159,99","159,99",-
Senf VITAL dojpak 270g,"77,99",-,"64,99","82,99","84,99","77,99",-
Senf KANIA pikant 200g,-,-,-,-,-,-,"69,99"
Ren ALEVA 200g,"174,99",-,-,-,-,"144,99",-
Ren ALEVA 350g,"259,99",-,-,-,-,"209,99",-
Ren C ribani 200g,"194,99","169,99","136,99","144,99","171,99","179,99",-
Ren C ribani 350g,"232,99","249,99","263,99","244,99","199,99","232,99","242,99"
Ren DIJAMANT ribani 190g,"141,99",-,"116,99",-,"129,99","141,99",-
Ren DIJAMANT ribani 350g,"229,99",-,"225,99",-,"224,99","214,99",-
Preliv DIJAMANT burger 250g,"169,99",-,"183,99","174,99",-,"169,99",-
Preliv DIJAMANT Cezar 100g,"54,99",-,"50,99","54,99",-,"54,99",-
Preliv DIJAMANT Cezar 300g,"169,99","162,99","146,99","146,99","119,99",-,-
Preliv DIJAMANT sa renom 100g,"52,99",-,"50,99",-,-,"52,99",-
Preliv DIJAMANT sa renom dojpak 300g,-,"157,99",-,"141,99",-,-,-
Preliv DIJAMANT za salatu mexicana 100g,"54,99",-,"50,99",-,"53,99","54,99",-
Preliv DIJAMANT za salatu mexicana 300g,"169,99","162,99","159,99","134,99","119,99","134,99",-
Preliv GURMAN burger 300ml,"199,99",-,"171,99","164,99","183,99","174,99",-
Preliv HEINZ American burger 220ml,"519,99","488,99","342,99","414,99",-,"429,99",-
Preliv HEINZ za roštilj 400ml,-,"629,99","423,99","575,99",-,"594,99",-
Preliv THOMY Chilli 80g,"97,99","97,99","73,99","94,99",-,"94,99",-
Preliv THOMY Garlic 80g,"94,99",-,"73,99",-,-,"94,99",-
Sos BARILLA Arrabbiata 400g,-,"399,99","313,99","377,99",-,"377,99",-
Sos BARILLA Bolognese 400g,-,-,-,-,-,"499,99",-
Sos BARILLA Napolitana 400g,-,"399,99","311,99","377,99",-,"377,99",-
Sos BARILLA Pesto Genovese 190g,"539,99","419,99","329,99","399,99","465,99","519,99",-
Sos BARILLA Pesto rosso 200g,-,"539,99","409,99","519,99",-,"519,99",-
Sos CHILITO opako ljuti 250g,"159,99","146,99","140,99","137,99","104,99","152,99",-
Sos CHILITO slatko ljuti 250g,"159,99","144,99","134,99","129,99","104,99","152,99",-
Sos HEINZ soja 150ml,"424,99","498,99","551,99","409,99",-,"424,99",-
Sos HEINZ Worcestershire 150ml,"410,99","456,99","438,99","399,99",-,"410,99",-
Sos PEMY chili 250ml,"139,99","167,99","109,99","133,99","186,99","139,99",-
Sos PEMY kari 250ml,"139,99",-,"155,99","152,99","186,99","139,99",-
Sos PEMY soja 280ml,"239,99","244,99","187,99","282,99","289,99","239,99",-
Sos PEMY sweet chili 285ml,"179,99",-,"206,99","164,99",-,"179,99",-
Sos PEMY Worcestershire 250ml,"179,99",-,"197,99","199,99",-,"179,99",-
Tartar sos DIJAMANT dojpak 300g,"169,99","153,99","159,99","130,99","158,99","139,99","129,99"
Tartar sos DIJAMANT kesa 100g,"52,99",-,"50,99","54,99",-,"52,99",-
Tartar sos GURMAN dojpak 300ml,-,-,-,"129,99","152,99",-,-
Tartar sos POLIMARK dojpak 300ml,"162,99","154,99","164,99","151,99","154,99","152,99",-
Tartar sos THOMY 220g,"164,99","184,99","189,99","177,99","159,99","229,99",-
Tartar sos THOMY 80g,"97,99","94,99","73,99","82,99",-,"94,99",-
Tartar sos VITAL Mayovita dojpak 270g,"209,99",-,"136,99","195,99","159,99",-,-
Sos BARESA Pesto rosso 190g,-,-,-,-,-,-,"249,99"
Margarin DIJAMANT classic 250g,"99,99","99,99","99,99","89,99","89,99","89,99","88,99"
Margarin DIJAMANT classic 500g,"197,99","197,99","208,99","193,99","169,99","194,99",-
Margarin DIJAMANT dijavit 250g,"97,99","74,99","84,99","74,99","110,99","94,99","78,99"
Margarin DIJAMANT Dobro jutro 250g,"117,99","112,99","118,99","103,99","123,99","107,99",-
Margarin DIJAMANT Dobro jutro 500g,"179,99","175,99","179,99","169,99","179,99","174,99","167,99"
Margarin DIJAMANT Dobro jutro light 250g,"79,99","77,99","74,99","71,99","77,99","74,99",-
Margarin DIJAMANT Dobro jutro light 500g,"129,99",-,"112,99","104,99","123,99","119,99",-
Margarin DIJAMANT Dobro jutro sa maslacem 250g,"137,99","133,99","125,99","124,99","134,99","127,99",-
Margarin DIJAMANT Dobro jutro slani sa maslacem 250g,"137,99",-,"125,99","124,99","94,99",-,-
Margarin DIJAMANT Expert za kolače 250g,"89,99","108,99","106,99","99,99","110,99","89,99",-
Margarin DIJAMANT Omegol 250g,"144,99",-,"137,99","134,99","138,99","129,99",-
Margarin DIJAMANT s maslacem 250g,"167,99","154,99","150,99","154,99","119,99","154,99",-
Margarin DOBRO JUTRO dijet 250g,"89,99","87,99","86,99","82,99","92,99","84,99",-
Margarin DOBRO JUTRO dijet 500g,"167,99","142,99","149,99","129,99","154,99","139,99",-
Margarin MINERVA maslinovo ulje 250g,-,"259,99",-,"234,99",-,-,-
Margarin VITAL Prijatno krem softi 250g,-,-,"112,99","115,99","99,99",-,-
Margarin VITAL Prijatno krem softi 500g,-,-,"159,99",-,-,"229,99",-
Margarin VITAL Prijatno laki 255g,"79,99",-,"85,99","90,99","79,99","79,99",-
Margarin VITAL Prijatno laki 512g,"119,99",-,"104,99","154,99","149,99","119,99",-
Margarin VITAL Prijatno mlečni 250g,"159,99",-,"144,99",-,"119,99","149,99",-
Margarin VITAL Prijatno mlečni 500g,-,-,-,-,-,"249,99",-
Margarin VITAL slatka pavlaka 250g,"134,99",-,"117,99","139,99","139,99","99,99",-
Margarin VITAL stoni 250g,"119,99","109,99","117,99","107,99","114,99","89,99",-
Dodatak jelima BONI 400g Bonito,"136,99",-,-,-,-,"136,99",-
Dodatak jelima BONI pikant 120g Bonito,-,-,"95,99",-,-,-,-
Začin ALEVA kulinat 1kg,-,-,"368,99",-,-,"354,99",-
Začin ALEVA kulinat 250g,"112,99",-,"114,99","96,99","109,99","107,99",-
Začin ALEVA kulinat 500g,"114,99","223,99","159,99","184,99","204,99","114,99",-
Začin ALEVA kulinat classic 125g,"72,99",-,"63,99",-,-,"54,99",-
Začin ALEVA kulinat natur 250g,"168,99","154,99","139,99","154,99","160,99","157,99",-
Začin ALEVA kulinat natur 500g,"299,99","279,99","277,99","281,99","291,99","281,99",-
Začin Bag začin 250g,"129,99",-,"99,99",-,"123,99","129,99",-
Začin BINAČIN 125g,"76,99","69,99",-,"52,99",-,-,-
Začin BINAČIN 1kg,-,"365,99",-,"317,99",-,-,-
Začin BINAČIN 250g,"97,99","107,99","104,99","83,99","102,99","97,99",-
Začin BINAČIN 500g,"209,99","196,99","170,99","176,99","179,99","179,99",-
Začin C 125g,"82,99","82,99","81,99","79,99",-,"79,99",-
Začin C 1kg,"521,99","449,99","471,99","449,99","429,99","489,99",-
Začin C 250g,"119,99","118,99","114,99","114,99","125,99","114,99",-
Začin C 350g,"196,99","159,99","196,99","154,99",-,"184,99",-
Začin C 500g,"199,99","193,99","189,99","191,99","189,99","199,99","219,99"
Začin C Garden 150g,"159,99",-,"128,99",-,"125,99","134,99",-
Začin C Garden 300g,"291,99","254,99","247,99","234,99","239,99","262,99",-
Začin C sa ukusom piletine 180g,"162,99","144,99","128,99","144,99","141,99","146,99",-
Začin DIJAMANT Natur 200g,"134,99",-,"164,99",-,-,"134,99",-
Začin PODRAVKA Vegeta 250g,"189,99","158,99","189,99","154,99","173,99","129,99","133,99"
Začin PODRAVKA Vegeta 400g,"374,99","343,99","319,99","301,99",-,"312,99",-
Začin PODRAVKA Vegeta kesica 400g,"332,99","319,99","239,99","277,99","249,99","304,99",-
Začin PODRAVKA Vegeta kesica 950g,"799,99","691,99","622,99","534,99","683,99","714,99",-
Začin PODRAVKA Vegeta Natur 150g,"199,99",-,"146,99",-,"159,99","187,99",-
Začin PODRAVKA Vegeta Natur 75g,"129,99",-,"101,99",-,-,"117,99",-
Začin YUMIS eko 1kg,-,-,"326,99",-,-,"314,99",-
